id,industry,product_type,purpose,country,loan_amount,currency,loan_term,payback_method,description,interest_rate
B10000,Energy,Movement,Product development,Belgium,2070491,EUR,18,Revenue share,"David Beck is seeking a loan for product development in the energy sector. Based in Belgium, they are hoping to raise €2070491.",7.74
B10001,Real Estate,Lot,Inventory,Luxembourg,1690506,EUR,12,Balloon payment,"Rachel Byrd is seeking a loan for inventory in the real estate sector. Based in Luxembourg, they are hoping to raise €1690506.",2.9
B10002,Tourism,Visit,Expansion,Lithuania,18125,EUR,12,Interest,"Candace Crosby is seeking a loan for expansion in the tourism sector. Based in Lithuania, they are hoping to raise €18125.",14.26
B10003,Energy,Offer,Growth,Romania,2339135,EUR,24,Emotional reward,"Christopher Marquez is seeking a loan for growth in the energy sector. Based in Romania, they are hoping to raise €2339135. This is a socially meaningful initiative where financial return is not expected.",
B10004,Finance,Often,Inventory,Italy,1275885,EUR,12,Amortized,"Jamie Johnson is seeking a loan for inventory in the finance sector. Based in Italy, they are hoping to raise €1275885.",8.48
B10005,Finance,Ever,Product development,Netherlands,721039,EUR,36,Interest,"Daniel Hunter is seeking a loan for product development in the finance sector. Based in Netherlands, they are hoping to raise €721039.",9.69
B10006,Education,Only,Growth,Slovakia,2464127,EUR,18,Interest,"Donald Yang is seeking a loan for growth in the education sector. Based in Slovakia, they are hoping to raise €2464127.",9.29
B10007,Food & Beverage,Fly,Growth,Spain,1733332,EUR,24,Balloon payment,"Tammy Anderson is seeking a loan for growth in the food & beverage sector. Based in Spain, they are hoping to raise €1733332.",7.47
B10008,Real Estate,Government,Other,Estonia,568508,EUR,24,Amortized,"Lacey Dalton is seeking a loan for other in the real estate sector. Based in Estonia, they are hoping to raise €568508.",3.99
B10009,Healthcare,Next,Socially responsible project,Croatia,4761241,EUR,24,Amortized,"Rachel Quinn is seeking a loan for socially responsible project in the healthcare sector. Based in Croatia, they are hoping to raise €4761241.",2.57
B10010,Agriculture,Under,Other,Czech Republic,3817646,EUR,12,Emotional reward,"Dominic Weber is seeking a loan for other in the agriculture sector. Based in Czech Republic, they are hoping to raise €3817646. This is a socially meaningful initiative where financial return is not expected.",
B10011,Real Estate,Least,Inventory,Netherlands,4973406,EUR,24,Amortized,"Joshua Rodriguez is seeking a loan for inventory in the real estate sector. Based in Netherlands, they are hoping to raise €4973406.",8.74
B10012,Healthcare,Political,R&D,Slovenia,4798836,EUR,18,Revenue share,"Richard Young is seeking a loan for r&d in the healthcare sector. Based in Slovenia, they are hoping to raise €4798836.",8.61
B10013,Retail,Magazine,Growth,Belgium,2328796,EUR,12,Balloon payment,"Joshua Garrett is seeking a loan for growth in the retail sector. Based in Belgium, they are hoping to raise €2328796.",1.32
B10014,Tourism,Something,Expansion,Czech Republic,4152081,EUR,36,Amortized,"Heather Reyes is seeking a loan for expansion in the tourism sector. Based in Czech Republic, they are hoping to raise €4152081.",6.38
B10015,Healthcare,Have,Other,Malta,1301900,EUR,36,Revenue share,"Casey Torres is seeking a loan for other in the healthcare sector. Based in Malta, they are hoping to raise €1301900.",2.14
B10016,Real Estate,Treat,Expansion,Romania,571684,EUR,12,Revenue share,"Richard Webb is seeking a loan for expansion in the real estate sector. Based in Romania, they are hoping to raise €571684.",10.96
B10017,Transport,Notice,R&D,Germany,3086070,EUR,36,Revenue share,"Edward Friedman is seeking a loan for r&d in the transport sector. Based in Germany, they are hoping to raise €3086070.",11.23
B10018,Education,Above,Inventory,Spain,2692426,EUR,12,Revenue share,"Kirsten Ballard is seeking a loan for inventory in the education sector. Based in Spain, they are hoping to raise €2692426.",5.26
B10019,Technology,Community,R&D,Austria,3726167,EUR,36,Revenue share,"Robert Ross is seeking a loan for r&d in the technology sector. Based in Austria, they are hoping to raise €3726167.",8.66
B10020,Healthcare,Clearly,Inventory,Greece,2908888,EUR,24,Revenue share,"Susan Wood is seeking a loan for inventory in the healthcare sector. Based in Greece, they are hoping to raise €2908888.",8.65
B10021,Real Estate,Shoulder,Inventory,Bulgaria,4257210,EUR,36,Balloon payment,"Michelle Delgado is seeking a loan for inventory in the real estate sector. Based in Bulgaria, they are hoping to raise €4257210.",13.67
B10022,Retail,Do,Growth,Bulgaria,1360896,EUR,24,Amortized,"Jennifer Allen is seeking a loan for growth in the retail sector. Based in Bulgaria, they are hoping to raise €1360896.",12.81
B10023,Healthcare,Spend,Other,Hungary,3296627,EUR,12,Interest,"Kelly Davis is seeking a loan for other in the healthcare sector. Based in Hungary, they are hoping to raise €3296627.",7.84
B10024,Food & Beverage,Away,R&D,Czech Republic,4640422,EUR,36,Interest,"Christopher Smith is seeking a loan for r&d in the food & beverage sector. Based in Czech Republic, they are hoping to raise €4640422.",6.49
B10025,Food & Beverage,Although,Expansion,Denmark,700844,EUR,36,Amortized,"Sabrina Wilson is seeking a loan for expansion in the food & beverage sector. Based in Denmark, they are hoping to raise €700844.",2.24
B10026,Energy,Week,Growth,Sweden,2391022,EUR,36,Emotional reward,"Joe Saunders is seeking a loan for growth in the energy sector. Based in Sweden, they are hoping to raise €2391022. This is a socially meaningful initiative where financial return is not expected.",
B10027,Finance,Person,Working capital,Croatia,2154726,EUR,24,Emotional reward,"Michael Garcia is seeking a loan for working capital in the finance sector. Based in Croatia, they are hoping to raise €2154726. This is a socially meaningful initiative where financial return is not expected.",
B10028,Food & Beverage,Wind,Expansion,Estonia,3643918,EUR,36,Balloon payment,"Becky Lee is seeking a loan for expansion in the food & beverage sector. Based in Estonia, they are hoping to raise €3643918.",0.59
B10029,Real Estate,Those,R&D,Slovakia,505638,EUR,36,Interest,"Carrie Hunt is seeking a loan for r&d in the real estate sector. Based in Slovakia, they are hoping to raise €505638.",1.17
B10030,Healthcare,Have,Growth,Finland,3725285,EUR,24,Revenue share,"Alexander Mcgrath is seeking a loan for growth in the healthcare sector. Based in Finland, they are hoping to raise €3725285.",3.15
B10031,Agriculture,Away,Expansion,Hungary,925715,EUR,24,Emotional reward,"James Berg is seeking a loan for expansion in the agriculture sector. Based in Hungary, they are hoping to raise €925715. This is a socially meaningful initiative where financial return is not expected.",
