id,industry,purpose,country,loan_amount,currency,loan_term,payback_method,description
L20000,"Finance, Technology",Socially responsible project,Finland,4146224,EUR,18,Revenue share,"Valerie Casey wants to invest in socially responsible project initiatives in the finance, technology sector(s). Located in Finland, they are offering up to €4146224."
L20001,Real Estate,Growth,Greece,705027,EUR,18,Amortized,"Paula Kirby wants to invest in growth initiatives in the real estate sector(s). Located in Greece, they are offering up to €705027."
L20002,"Retail, Transport, Real Estate",Working capital,Ireland,333297,EUR,36,Balloon payment,"Martin Ramirez wants to invest in working capital initiatives in the retail, transport, real estate sector(s). Located in Ireland, they are offering up to €333297."
L20003,"Transport, Real Estate, Healthcare",Expansion,Hungary,1279584,EUR,12,Revenue share,"Tiffany Turner wants to invest in expansion initiatives in the transport, real estate, healthcare sector(s). Located in Hungary, they are offering up to €1279584."
L20004,Food & Beverage,Socially responsible project,Sweden,3582609,EUR,18,Emotional reward,"Philip Rodriguez wants to invest in socially responsible project initiatives in the food & beverage sector(s). Located in Sweden, they are offering up to €3582609. They are motivated by social or environmental impact, not financial return."
L20005,"Agriculture, Tourism, Retail",Expansion,Finland,1773651,EUR,18,Revenue share,"Jessica Nelson wants to invest in expansion initiatives in the agriculture, tourism, retail sector(s). Located in Finland, they are offering up to €1773651."
L20006,Tourism,Expansion,Ireland,4204390,EUR,24,Amortized,"Sarah Brown wants to invest in expansion initiatives in the tourism sector(s). Located in Ireland, they are offering up to €4204390."
L20007,Tourism,Expansion,Czech Republic,4422358,EUR,12,Revenue share,"Steven Mathis wants to invest in expansion initiatives in the tourism sector(s). Located in Czech Republic, they are offering up to €4422358."
L20008,Transport,Inventory,Estonia,474801,EUR,36,Amortized,"Melanie Maldonado wants to invest in inventory initiatives in the transport sector(s). Located in Estonia, they are offering up to €474801."
L20009,Tourism,Inventory,Malta,4093641,EUR,18,Interest,"Amber Jones wants to invest in inventory initiatives in the tourism sector(s). Located in Malta, they are offering up to €4093641."
L20010,Technology,Product development,Latvia,1330177,EUR,36,Revenue share,"Brent Morse DDS wants to invest in product development initiatives in the technology sector(s). Located in Latvia, they are offering up to €1330177."
L20011,Agriculture,Growth,Finland,1635208,EUR,36,Revenue share,"Christopher Smith wants to invest in growth initiatives in the agriculture sector(s). Located in Finland, they are offering up to €1635208."
L20012,Healthcare,Expansion,France,3960332,EUR,36,Revenue share,"Lisa Ramirez wants to invest in expansion initiatives in the healthcare sector(s). Located in France, they are offering up to €3960332."
L20013,"Agriculture, Food & Beverage",Working capital,Finland,3041481,EUR,18,Revenue share,"Justin Benson wants to invest in working capital initiatives in the agriculture, food & beverage sector(s). Located in Finland, they are offering up to €3041481."
L20014,"Food & Beverage, Transport",R&D,Estonia,3608932,EUR,18,Interest,"Leah Gomez wants to invest in r&d initiatives in the food & beverage, transport sector(s). Located in Estonia, they are offering up to €3608932."
L20015,Retail,Product development,Hungary,974239,EUR,24,Revenue share,"Matthew Sanchez wants to invest in product development initiatives in the retail sector(s). Located in Hungary, they are offering up to €974239."
L20016,Food & Beverage,Expansion,Austria,4489080,EUR,18,Emotional reward,"Ashley Miller wants to invest in expansion initiatives in the food & beverage sector(s). Located in Austria, they are offering up to €4489080. They are motivated by social or environmental impact, not financial return."
L20017,Agriculture,Inventory,Romania,1657329,EUR,12,Balloon payment,"Austin Johnson wants to invest in inventory initiatives in the agriculture sector(s). Located in Romania, they are offering up to €1657329."
L20018,"Finance, Technology",Working capital,Poland,1470782,EUR,24,Balloon payment,"Shawn Flores wants to invest in working capital initiatives in the finance, technology sector(s). Located in Poland, they are offering up to €1470782."
L20019,"Retail, Finance",Growth,Portugal,3853320,EUR,12,Amortized,"Travis Walker wants to invest in growth initiatives in the retail, finance sector(s). Located in Portugal, they are offering up to €3853320."
L20020,"Technology, Construction",Working capital,Belgium,3681991,EUR,12,Interest,"Daniel Blackburn wants to invest in working capital initiatives in the technology, construction sector(s). Located in Belgium, they are offering up to €3681991."
L20021,Healthcare,Socially responsible project,Austria,1643524,EUR,12,Interest,"Peter Mercado wants to invest in socially responsible project initiatives in the healthcare sector(s). Located in Austria, they are offering up to €1643524."
L20022,Transport,R&D,Slovenia,1233023,EUR,18,Revenue share,"Glenn Jacobs wants to invest in r&d initiatives in the transport sector(s). Located in Slovenia, they are offering up to €1233023."
L20023,"Agriculture, Retail, Food & Beverage",Expansion,Ireland,1481844,EUR,24,Amortized,"Edward Walker wants to invest in expansion initiatives in the agriculture, retail, food & beverage sector(s). Located in Ireland, they are offering up to €1481844."
L20024,"Energy, Tourism, Agriculture",Expansion,Finland,1445993,EUR,24,Amortized,"Sarah Coleman wants to invest in expansion initiatives in the energy, tourism, agriculture sector(s). Located in Finland, they are offering up to €1445993."
L20025,"Transport, Construction",Socially responsible project,Belgium,3000826,EUR,24,Balloon payment,"Marc Griffin wants to invest in socially responsible project initiatives in the transport, construction sector(s). Located in Belgium, they are offering up to €3000826."
L20026,"Food & Beverage, Healthcare, Energy",Expansion,Czech Republic,34211,EUR,18,Revenue share,"Juan Flynn wants to invest in expansion initiatives in the food & beverage, healthcare, energy sector(s). Located in Czech Republic, they are offering up to €34211."
L20027,"Energy, Construction, Transport",Socially responsible project,Bulgaria,461659,EUR,12,Balloon payment,"Kimberly Nguyen wants to invest in socially responsible project initiatives in the energy, construction, transport sector(s). Located in Bulgaria, they are offering up to €461659."
L20028,"Food & Beverage, Healthcare, Finance",Other,France,4493132,EUR,36,Amortized,"Laura Peterson wants to invest in other initiatives in the food & beverage, healthcare, finance sector(s). Located in France, they are offering up to €4493132."
L20029,"Retail, Tourism, Technology",Other,Lithuania,3405077,EUR,12,Interest,"Jeffrey Alexander wants to invest in other initiatives in the retail, tourism, technology sector(s). Located in Lithuania, they are offering up to €3405077."
